StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount
0,1.0000,0.0000,0.0000,1,0.3686,0.0200,0.0704,0.7851,0.3561,0.0704,0.7851,0.3561,0
1,1.0000,0.0000,0.0000,2,0.3686,0.0200,0.0704,0.7851,0.3561,0.0467,0.7498,0.2866,0
2,1.0000,0.0000,0.0000,3,0.3686,0.0200,0.0358,0.7707,0.2835,0.0497,0.7483,0.2851,0
3,1.0000,0.0000,0.0000,4,0.3686,0.0200,-0.0320,1.1606,0.5548,0.0315,0.8294,0.3322,0
4,1.0000,0.8977,0.0000,1,1.0000,0.0200,0.1320,1.1717,0.5570,0.1130,0.7864,0.3417,0
5,1.0000,0.8977,0.0000,2,1.0000,0.0200,-0.1619,0.9858,0.3441,-0.1618,0.9746,0.3437,0
6,0.0000,0.0000,0.0000,1,1.0000,0.0200,-0.1164,0.9473,0.3569,-0.1345,0.8832,0.3173,0
7,1.0000,0.0000,0.0000,5,0.1098,0.0200,-0.1089,0.9099,0.3561,-0.0859,0.8587,0.3456,0
8,1.0000,0.0000,0.0000,6,0.1098,0.0200,-0.0898,1.1545,0.6371,0.1088,0.8202,0.3635,0
9,1.0000,0.0000,0.0000,7,1.0000,0.0200,0.3086,1.1905,0.5150,0.1550,0.9628,0.3978,0
10,1.0000,0.8977,0.0000,3,1.0000,0.0200,0.1447,0.9627,0.3800,0.1444,0.8012,0.2964,0
11,0.0000,0.0000,1.0000,1,0.2275,0.0200,-0.0243,0.9180,0.3623,0.0969,0.7779,0.2852,0
12,0.0000,0.0000,1.0000,2,0.2275,0.0200,0.1734,0.9193,0.3596,0.1503,0.8558,0.3089,0
